"Y";"log";"ridge";"lasso";"elastic";"foret";"adabo";"logibo";"svm";"pm";"arbre"
"0";0,529136716919875;0,46210013114514;0;0;0;0;0;0;0,386570572853088;0
"0";0,166738476253115;0,141557938053564;0;0;0;0;0;0;0,335972279310226;0
"0";0,314447907159672;0,319100219770245;0,366141845526322;0,354668634616533;0,326;0,367791759941135;0,317336899701895;0,299473830618063;0,329978078603745;0,101228501228501
"1";0,0751750406973708;0,0967838484615065;0;0;0;0;0;0;0,335972279310226;0
"0";0,0901430681945742;0,107231202134981;0;0;0;0;0;0;0,335972279310226;0
"0";0,890560677861853;0,864319759367688;0;0;0;0;0;0;0,335972279310226;0
"0";0,0156095926564272;0,0299246971210252;0,0563859593738428;0,0337759273840117;0,02;0,0271908255368252;0,059445553427314;0,0350453152465169;0,412762701511383;0,101228501228501
"0";0,0419583056697599;0,0723675243001405;0;0;0;0;0;0;0,339202433824539;0
"1";0,732325295079652;0,635070930594662;0;0;0;0;0;0;0,339202433824539;0
"1";0,484738696510389;0,540638508197101;0;0;0;0;0;0;0,339202433824539;0
"0";0,684903646867703;0,67667611446311;0,642207323521826;0,666513528489237;0,722;0,607376608420964;0,689808224654581;0,662170253228282;0,329978078603745;0,680829015544041
"1";0,702826094441075;0,686048448409949;0;0;0;0;0;0;0,330786824226379;0
"0";0,406271641765343;0,410078617806529;0;0;0;0;0;0;0,447002679109573;0
"0";0,0204257691098571;0,0389818501319423;0;0;0;0;0;0;0,335972279310226;0
"0";0,0893566554803474;0,089286040914507;0;0;0;0;0;0;0,335972279310226;0
"1";0,851259802200188;0,850325311064015;0,863255118794438;0,869844814527033;0,626;0,669583662633324;0,723411963385609;0,835390992060803;0,329978078603745;0,680829015544041
"0";0,0680078068092226;0,0880371606307156;0,0935598094213449;0,0896523810230793;0,04;0,051451538130154;0,075820065924421;0,0874318639269764;0,329978078603745;0,101228501228501
"0";0,7102213236537;0,562633721050651;0;0;0;0;0;0;0,335972279310226;0
"0";0,00363243208243095;0,00790984787584046;0;0;0;0;0;0;0,330786824226379;0
"1";0,867691911349924;0,820568449515838;0,722741270261388;0,798863561897212;0,57;0,630470913287103;0,694328476387345;0,862616438303296;0,329978078603745;0,680829015544041
"0";0,0294854039333795;0,047790157008133;0;0;0;0;0;0;0,335972279310226;0
"1";0,935503610146548;0,911617917444353;0;0;0;0;0;0;0,335972279310226;0
"1";0,478685601920766;0,460927081371303;0,36855491602135;0,451043221429158;0,4;0,558179209859869;0,445542241142758;0,403224924574103;0,329978078603745;0,387959866220736
"0";0,031363158860656;0,0484640306241644;0;0;0;0;0;0;0,339202433824539;0
"1";0,812252620700733;0,779986751669732;0;0;0;0;0;0;0,339202433824539;0
"0";0,46515203473127;0,416172529207756;0,361013212491515;0,385054287062208;0,38;0,370936211026559;0,340324992200559;0,485443783227566;0,329978078603745;0,680829015544041
"0";0,105605135494719;0,129284095792796;0;0;0;0;0;0;0,335972279310226;0
"1";0,409275122640182;0,422041823649321;0;0;0;0;0;0;0,330786824226379;0
